SEPARATOR:Tabulator
s743TabulatorMovieTabulatorBarbie Star Light AdventureTabulator"Andrew Tan, Michael Goguen"Tabulator"Erica Lindbeck, Robbie Daymond, Kimberly Woods, Sarah Anne Williams, Michael Chandler, Dwight Schultz, Ben Bledsoe, Jonathan Lipow, Lucien Dodge, Laura Post"TabulatorUnited StatesTabulator"October 1, 2017"Tabulator2016TabulatorTV-YTabulator79 minTabulatorChildren & Family MoviesTabulator"A hoverboard-riding princess of the cosmos, Barbie must band together with a team of talented new friends to save the stars from winking out."
s742TabulatorMovieTabulatorBarbie Princess AdventureTabulatorConrad HeltenTabulator_America Young, Erica Lindbeck, Ritesh Rajan, Dave Fennoy, Stephanie Sheh, Cristina Milizia, Desirae Whitfield, Emma Galvin, Angelo Restaino, Eamon Brennan, Ogie Banks_TabulatorUnited StatesTabulator_September 1, 2020_Tabulator2020TabulatorTV-YTabulator72 minTabulator_Children & Family Movies, Music & Musicals_Tabulator_Through music and magic, Barbie learns what it`s like to be a modern princess when she trades places with a royal lookalike._
s737TabulatorTV ShowTabulatorBarbie Dreamhouse Adventures: Go Team RobertsTabulatorTabulator_America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Emma Galvin, Stephanie Sheh, Desirae Whitfield, Cristina Milizia, Lisa Fuson, Greg Chun, Ritesh Rajan, Eamon Brennan_TabulatorTabulator_March 21, 2020_Tabulator2020TabulatorTV-YTabulator2 SeasonsTabulatorKids` TVTabulator_As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss._
s736TabulatorTV ShowTabulatorBarbie Dreamhouse AdventuresTabulatorTabulator_America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Ritesh Rajan_Tabulator_United States, Canada_Tabulator_February 14, 2019_Tabulator2018TabulatorTV-YTabulator3 SeasonsTabulatorKids` TVTabulatorGet to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family`s new dreamhouse.
