SEPARATOR:;
s4289;TV Show;Murder Mountain;;;United States;_December 28, 2018_;2018;TV-MA;1 Season;_Crime TV Shows, Docuseries_;_In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again._
s4243;Movie;Mountain;Jennifer Peedom;;Australia;_October 1, 2018_;2017;PG;74 min;_Action & Adventure, Documentaries, International Movies_;_Featuring breathtaking imagery and thought-provoking narration, this film takes viewers to the summits of some of the world’s most amazing mountains._
